Source,Target,Type,Weight
0,28801,Directed,1
1,28802,Directed,1
2,28803,Directed,1
3,28804,Directed,1
4,28805,Directed,1
5,28806,Directed,1
6,28807,Directed,1
7,28808,Directed,1
8,28809,Directed,1
9,28810,Directed,1
9,28811,Directed,1
10,28812,Directed,1
11,28813,Directed,1
12,28814,Directed,1
13,28815,Directed,1
13,28816,Directed,1
14,28816,Directed,1
15,1456,Directed,1
16,28817,Directed,1
17,28818,Directed,1
18,10,Directed,1
19,28819,Directed,1
20,28820,Directed,1
21,28821,Directed,1
22,28822,Directed,1
23,522,Directed,1
20,28823,Directed,1
20,28824,Directed,1
24,28825,Directed,1
25,28826,Directed,1
26,28827,Directed,1
26,28828,Directed,1
27,28829,Directed,1
28,28830,Directed,1
29,15178,Directed,1
30,28831,Directed,1
31,28832,Directed,1
32,28833,Directed,1
33,28834,Directed,1
34,28835,Directed,1
35,28836,Directed,1
35,35,Directed,1
36,28837,Directed,1
18,28838,Directed,1
37,28839,Directed,1
38,28839,Directed,1
39,28840,Directed,1
39,28841,Directed,1
40,28842,Directed,1
41,28843,Directed,1
42,28844,Directed,1
42,28845,Directed,1
42,28846,Directed,1
42,28847,Directed,1
42,28848,Directed,1
42,28849,Directed,1
42,28850,Directed,1
42,28851,Directed,1
43,28852,Directed,1
44,28853,Directed,1
34,28835,Directed,1
45,28854,Directed,1
46,28855,Directed,1
47,28856,Directed,1
48,28857,Directed,1
49,28858,Directed,1
50,28859,Directed,1
50,28860,Directed,1
51,28861,Directed,1
52,141,Directed,1
53,28862,Directed,1
54,28863,Directed,1
55,28864,Directed,1
56,28865,Directed,1
57,28866,Directed,1
58,28867,Directed,1
59,28868,Directed,1
60,28869,Directed,1
61,28870,Directed,1
61,28871,Directed,1
61,28872,Directed,1
61,28873,Directed,1
62,10600,Directed,1
63,28874,Directed,1
64,28868,Directed,1
65,28875,Directed,1
66,28876,Directed,1
67,28877,Directed,1
68,28878,Directed,1
69,28879,Directed,1
70,28880,Directed,1
71,28881,Directed,1
72,28882,Directed,1
73,28883,Directed,1
74,28881,Directed,1
75,28884,Directed,1
76,28881,Directed,1
77,28885,Directed,1
78,26913,Directed,1
79,28886,Directed,1
80,28887,Directed,1
81,28888,Directed,1
82,15056,Directed,1
83,28889,Directed,1
84,11304,Directed,1
82,28890,Directed,1
85,28891,Directed,1
86,28892,Directed,1
87,28827,Directed,1
87,28828,Directed,1
88,28827,Directed,1
88,28828,Directed,1
89,28893,Directed,1
89,28828,Directed,1
90,28894,Directed,1
90,28828,Directed,1
91,94,Directed,1
91,28828,Directed,1
91,28895,Directed,1
91,28828,Directed,1
92,28827,Directed,1
92,28828,Directed,1
93,28827,Directed,1
93,28828,Directed,1
94,28828,Directed,1
95,28896,Directed,1
96,28897,Directed,1
97,28898,Directed,1
98,25883,Directed,1
98,28853,Directed,1
98,28899,Directed,1
99,5791,Directed,1
100,28900,Directed,1
75,5791,Directed,1
101,28901,Directed,1
102,28902,Directed,1
103,28903,Directed,1
104,28904,Directed,1
105,28905,Directed,1
106,28906,Directed,1
107,28907,Directed,1
51,28908,Directed,1
108,28909,Directed,1
108,28910,Directed,1
109,28911,Directed,1
110,28912,Directed,1
111,28913,Directed,1
67,5039,Directed,1
112,28914,Directed,1
113,112,Directed,1
114,28813,Directed,1
115,28915,Directed,1
116,28813,Directed,1
117,28916,Directed,1
118,28917,Directed,1
119,28917,Directed,1
120,28918,Directed,1
119,28918,Directed,1
118,28918,Directed,1
121,28919,Directed,1
122,28920,Directed,1
123,28921,Directed,1
124,28922,Directed,1
125,25186,Directed,1
126,28923,Directed,1
127,28924,Directed,1
128,28925,Directed,1
129,28867,Directed,1
130,28926,Directed,1
131,141,Directed,1
132,28927,Directed,1
132,28928,Directed,1
133,28928,Directed,1
134,28929,Directed,1
135,28930,Directed,1
136,28931,Directed,1
137,28932,Directed,1
138,141,Directed,1
139,3098,Directed,1
140,199,Directed,1
141,27846,Directed,1
142,141,Directed,1
143,28933,Directed,1
51,28934,Directed,1
144,28935,Directed,1
144,28936,Directed,1
145,28937,Directed,1
146,28938,Directed,1
147,28939,Directed,1
75,5791,Directed,1
148,28940,Directed,1
75,5791,Directed,1
143,28933,Directed,1
149,28941,Directed,1
150,28942,Directed,1
151,28943,Directed,1
152,1004,Directed,1
153,28944,Directed,1
154,28945,Directed,1
155,28946,Directed,1
155,28947,Directed,1
156,158,Directed,1
156,28948,Directed,1
157,28949,Directed,1
157,28950,Directed,1
158,28950,Directed,1
159,28951,Directed,1
160,28952,Directed,1
161,28953,Directed,1
162,28954,Directed,1
163,28955,Directed,1
164,28956,Directed,1
165,28957,Directed,1
166,28958,Directed,1
166,18927,Directed,1
167,28958,Directed,1
167,18927,Directed,1
168,28959,Directed,1
169,28960,Directed,1
170,28961,Directed,1
171,28962,Directed,1
172,18927,Directed,1
173,28963,Directed,1
174,28964,Directed,1
175,6896,Directed,1
176,28965,Directed,1
177,28966,Directed,1
177,28966,Directed,1
178,28967,Directed,1
179,28968,Directed,1
180,28969,Directed,1
179,28968,Directed,1
181,28970,Directed,1
182,28971,Directed,1
183,28972,Directed,1
184,28973,Directed,1
185,28974,Directed,1
186,28975,Directed,1
187,28976,Directed,1
188,28977,Directed,1
189,1496,Directed,1
190,393,Directed,1
191,28978,Directed,1
192,28979,Directed,1
193,28980,Directed,1
194,28972,Directed,1
195,28981,Directed,1
196,28982,Directed,1
197,28956,Directed,1
197,28972,Directed,1
198,28956,Directed,1
198,28972,Directed,1
199,202,Directed,1
199,28956,Directed,1
200,28972,Directed,1
201,28972,Directed,1
202,28983,Directed,1
202,28972,Directed,1
203,28984,Directed,1
204,28956,Directed,1
204,26151,Directed,1
205,28985,Directed,1
206,28986,Directed,1
207,28987,Directed,1
208,12729,Directed,1
209,28988,Directed,1
204,28956,Directed,1
204,26151,Directed,1
204,28989,Directed,1
210,28990,Directed,1
209,28991,Directed,1
211,28992,Directed,1
211,28993,Directed,1
211,28994,Directed,1
211,28995,Directed,1
211,28996,Directed,1
212,6047,Directed,1
213,28997,Directed,1
214,28998,Directed,1
192,28999,Directed,1
215,29000,Directed,1
216,29001,Directed,1
217,29002,Directed,1
218,29003,Directed,1
188,29004,Directed,1
219,29005,Directed,1
220,29006,Directed,1
221,29007,Directed,1
221,29008,Directed,1
222,29008,Directed,1
223,29009,Directed,1
224,5813,Directed,1
225,29010,Directed,1
224,29011,Directed,1
224,5813,Directed,1
226,28881,Directed,1
227,29012,Directed,1
228,29013,Directed,1
229,29014,Directed,1
230,29009,Directed,1
231,29015,Directed,1
123,29016,Directed,1
232,29017,Directed,1
233,29002,Directed,1
234,348,Directed,1
17,489,Directed,1
235,29018,Directed,1
236,29019,Directed,1
237,29020,Directed,1
238,701,Directed,1
239,29021,Directed,1
240,29022,Directed,1
241,13260,Directed,1
242,29023,Directed,1
243,29024,Directed,1
244,29025,Directed,1
78,28870,Directed,1
245,14805,Directed,1
246,29026,Directed,1
247,29027,Directed,1
248,29028,Directed,1
249,29029,Directed,1
250,6241,Directed,1
250,29030,Directed,1
251,29031,Directed,1
251,29032,Directed,1
252,29033,Directed,1
253,29034,Directed,1
254,29035,Directed,1
255,29036,Directed,1
256,29037,Directed,1
257,29038,Directed,1
258,29039,Directed,1
160,29040,Directed,1
259,29041,Directed,1
260,29042,Directed,1
261,29043,Directed,1
262,29044,Directed,1
263,29045,Directed,1
264,29046,Directed,1
265,29047,Directed,1
266,29048,Directed,1
267,29049,Directed,1
268,29050,Directed,1
269,29051,Directed,1
269,29052,Directed,1
270,29053,Directed,1
271,29054,Directed,1
272,5459,Directed,1
273,29055,Directed,1
274,29056,Directed,1
275,29057,Directed,1
276,8411,Directed,1
277,26151,Directed,1
278,28859,Directed,1
279,29058,Directed,1
