,usuario,texto;;;
51,@BolsonaroSP,@BolsonaroSP Isso o CORONA agradece e comparece;;;
59,@BolsonaroSP,@BolsonaroSP essa porta quem começou foi vcs. Se no lugar de Tá preocupado com a PF estivesse preocupados com o coronavírus  e lutando pelo povo. Nada disso estaria acontecendo seu  infeliz;;;
116,@BolsonaroSP,@BolsonaroSP Viva ao corona... Tu és uma vergonha pra esse país.;;;
119,@BolsonaroSP,@BolsonaroSP a respeito do combate ao coronavírus vc não se pronuncia;;;
143,@BolsonaroSP,@CarlaSv17 @BolsonaroSP O que me assustou foi o cara defender com um Corona na mão... Que cena;;;
"149,@BolsonaroSP,""@BolsonaroSP Com CORONA e tudo!";;;
;;;
"#BolsonaroPelaLeiEOrdem ğŸ‡§ğŸ‡·""";;;
"152,@BolsonaroSP,""@BolsonaroSP DEUS NOS PROTEJA !";;;
Desse vírus corona .;;;
Na luta para eliminar o vírus MALDITO do nosso país. ;;;
;;;
#somosos70porcento ;;;
#ForaBolsonaroGenocida ;;;
"#ForaBolåonaro https://t.co/4CRGKHVHKs""";;;
154,@BolsonaroSP,@BolsonaroSP Esquerda torce pelo coronavírus e usa toda desgraça que poder para afrontar a democracia.;;;
165,@BolsonaroSP,@BolsonaroSP Tá  fácil sobrevoar com o dinheiro do povo. Quanto ao coronavírus nenhum comentário. 28.872 mortes. Fascistas!;;;
181,@BolsonaroSP,@BolsonaroSP verdade CAMPEõES DE MORTE POR CORONA VÍRUS ğŸ‡§ğŸ‡·ğŸ¤ğŸ‡ºğŸ‡¸ https://t.co/RFTvP637BZ;;;
249,@BolsonaroSP,@BolsonaroSP @jairbolsonaro Comemoração pelos quase 30 mil mortos do corona no Brasil.;;;
"254,@BolsonaroSP,""@HelenoPower @BolsonaroSP o impressionante é continuar sendo gado de um presidente que não tem o mínimo de conexão com sua população, apenas controlando seus bois pra fingir o mínimo de apoio. o verdadeiro POVO que estava calado agora começa a emergir. não dãopra ficar parado por conta do corona""";;;
282,@BolsonaroSP,@BolsonaroSP Pq não vá  de a pé. Facilitar o trabalho do corona.;;;
310,@BolsonaroSP,@BolsonaroSP coronavírus é com você ğŸ™;;;
311,@BolsonaroSP,@BolsonaroSP coronavírus Fest. Oh boiada...;;;
313,@BolsonaroSP,@BolsonaroSP Corre aqui Corona!;;;
"332,@BolsonaroSP,""@Direita_Network @BolsonaroSP Gostaria de saber, verdadeiramente, se existe uma estatÍstica confiável, que trate do numero de vitimas da hidroziclororiquina no tratamento da malária  e do lúpus? Ou só há vitimas no tratamento do corona virus?""";;;
"333,@BolsonaroSP,""@BolsonaroSP Gostaria de saber, verdadeiramente, se existe uma estatÍstica confiável, que trate do numero de vitimas da hidroziclororiquina no tratamento da malária  e do lúpus? Ou só há vitimas no tratamento do corona virus?""";;;
"334,@BolsonaroSP,""@BolsonaroSP @conexaopolitica Gostaria de saber, verdadeiramente, se existe uma estatÍstica confiável, que trate do numero de vitimas da hidroziclororiquina no tratamento da malária  e do lúpus? Ou só há vitimas no tratamento do corona virus?""";;;
