;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;@jairbolsonaro;@jairbolsonaro nossa, seria uma pena se morresse de corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;@jairbolsonaro;@jairbolsonaro q vc e o seu povo pegue corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;@jairbolsonaro;@jairbolsonaro SA PESTE … T√O RUIM QUE NEM CORONAVÕRUS PEGA üë∫;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;@jairbolsonaro;@jairbolsonaro que bom ai tu ja pega corona mais tarde rapido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;@jairbolsonaro;@jairbolsonaro VAI PRA PORRA DE UM HOSPITAL ONDE TEM MILHARES INTERNADAS POR CONTA DO CORONAVIRUS, VAI PRA MANIFESTA«√O EM S√O PAULO A FAVOR DA DEMOCRACIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;@jairbolsonaro;@jairbolsonaro Cada dia que passa o povo est· cada vez mais nos hospitais por conta do corona. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vai pra l·;" aproveita e pega pra ver se aprende.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;@jairbolsonaro;@jairbolsonaro Corona est· nas tuas m„os;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;@jairbolsonaro;@lexixia__ @ElisaChveidel @Gus_RJ_BR @jairbolsonaro E todo mundo de mascara, tem qhe derrubar o presidente mas protegido do corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;@jairbolsonaro;@jairbolsonaro Vai nada nos hospitais onde el s est„o morrendo de Corona , sem auxÌlio sem nada , honra a p·tria que se prometeu proteger !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;@jairbolsonaro;@jairbolsonaro Nos ˙ltimos 15 dias qual o plano de aÁ„o contra o coronavÌrus?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;@jairbolsonaro;@jairbolsonaro e o corona tb ne o seu animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;@jairbolsonaro;@jairbolsonaro CORONAVIRUS ta ai a sua chance de brilhar üôèüèº;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;@jairbolsonaro;@VWoguel @laizadoceu @jairbolsonaro KKKKKKKK n„o È a gnt que vai chora n„o princesa, s„o as pessoas que v„o pegar corona depois desse encontro de jumentos üòó‚úåüèº;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;@jairbolsonaro;@jairbolsonaro VELHO EST PIDO DO CARALHO ESPERO QUE PEGUE CORONA FILHO DA PUTA https://t.co/ABDr37Hv5G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
