,usuario,texto;;
1,@felipeneto,@felipeneto Tem que escoltar é uma velha louca que daqui uns dias vai estar com corona virus pois pertence ao grupo de risco;;
"4,@felipeneto,""@xxjhonnx @RafaOkami @felipeneto Apoie quem você quiser e será julgado por isso, a partir do momento que você apoia alguém que diz que a ditadura matou pouco, alguém que admira Ustra, alguém minimizou o corona vírus até aqui causando a morte de milhares, alguém participa de protestos anti democráticos +""";;
"8,@felipeneto,""@Maromau @RafaaVinii @Perezznando @felipeneto A terra e plana, corona não existe e Hitler era comunista. Concordo""";;
"11,@felipeneto,""@felipeneto queria que o corona só pegasse os fascistas e nazistas, né meu filho?";;
"eu: siiiiim""";;
"12,@felipeneto,""@felipeneto ta podemos deixar isso para depois da PANDEMIA MUNDIAL?,pq n seria legal pegar corona""";;
"20,@felipeneto,""@GDario_miix @eugaabf @erroian @felipeneto @jotamarquesrj @raullsantiago @joelluiz_adv @brenolaerte @pontejornalismo @Alma_Preta @BuubaAguiar @rennanleta @eumichelsilva O corona, está sendo feito teste   em massa para os manifestantes. Milhares de teste, após seguem para a manifestação democrática.""";;
36,@felipeneto,@eugaabf @marquinhosBR4 @felipeneto @jotamarquesrj @raullsantiago @joelluiz_adv @brenolaerte @pontejornalismo @Alma_Preta @BuubaAguiar @rennanleta @eumichelsilva Ue se os bolsominions se arriscam a pegar corona e a esquerda n ? Não seria bom pra quem é de esquerda em casa ver os numeros de bolsominons e pessoas de direita diminuirem graças ao Covid? Darwin  ensina o peso da evolução e das escolhas.  Perderam a vantagem parabéns;;
"83,@felipeneto,""@veramagalhaes @felipeneto Bozo deu muita sorte, se não fosse o Corona vírus nós já tinhamos ido Ã s ruas pra manifestar e tirar ele de lá. Felizmente, somos pessoas sensatas em época de pandemia mundial. Quando tudo passar, temos que fazer esforço pra tirar ele de lá.""";;
130,@felipeneto,@NacProgressista @felipeneto Vai tudo morre de corona 1 metro de distÃ¢ncia so isso e pronto ninguém morre e álcool e gel fácil ou melho fica na merda da sua casa;;
