,usuario,texto;;
2,@g1,@g1 Kkkk só rindo da mídia e coronavírus foi embora??;;
7,@g1,@g1 Pessoal a Globo liberou o povo pra aglomerar! Acabou o corona! Vivaa;;
"162,@g1,""@g1 Corona, é com você .""";;
166,@g1,@deathrockroll @myhappyendng @g1 eu iria se nao tivesse o corona;;
176,@g1,@myhappyendng @g1 @avrilneedy e pegar corona;;
"179,@g1,""@g1 Mel dels, o Brasil se acabando em coronavírus e esses policiais só pensam em prender 5 toneladas de maconha, mas por que? Tanta gente precisando da sua maconha para fumar e acalmar em casa de quarentena e a policia sempre atrapalhando.""";;
182,@g1,@g1 prevejo amanhã brasil chega a 100mil mortos por corona;;
196,@g1,@TaniaHelenaS @netoeilish @g1 E com essa mulher com emoji no perfil tbm corona;;
200,@g1,@g1 Que bom que coronavírus é seletivo;;
"215,@g1,""@g1 E de repente a porra do corona e  o isolamento social sumiram!!";;
;;
"Não vamos esquecer de que lado vcs estão, imprensa imunda.""";;
"237,@g1,""@mariaaspfc @_CorneliaSt @marcoaurellius @g1 E o corona? vc é a favor de aglomeração? com milhares de pessoas morrendo? vcs não pensam no proximo? 500mil infectados no brasil e vcs apoiando nego se agrupando, que triste""";;
240,@g1,@g1 Gnt... Mas e o corona? E o fica em casa? Fudeu.;;
257,@g1,@g1 Antifascistas acabaram com coronavírus!!!!;;
"259,@g1,""@g1 Não tem risco de pegar o corona, pois esse tipo de manifestação tem apoio da OMS e o vírus não tem poder sobre eles.""";;
283,@g1,@g1 Mas e as aglomerações ? Acabou o corona ? Essa manifestação democrática que tem símbolos anarquistas ??? Que vergonha dessa imprensa lixo !!!!;;
"286,@g1,""@netoeilish @g1 E com a esquisita de cabelo azul e rosa que escreve tb , Corona!!""";;
287,@g1,@g1 Lutando contra o facismo e Unidos com o corona;;
"290,@g1,""@GuardaMoratelli @manuelavalle @g1 Vc é a favor do Bolsonaro?";;
O coronavírus é real ou apenas mais uma gripe?;;
É a favor do isolamento ou não?;;
"Quem provoca aglomeração é certo ou errado?""";;
"328,@g1,""@g1 Gostaria de saber, verdadeiramente, se existe uma estatística confiável, que trate do numero de vitimas da hidroziclororiquina no tratamento da malária  e do lúpus? Ou só há vitimas no tratamento do coronavírus?""";;
"346,@g1,""@medeiroscwb @AliancaPelaDem @g1 Primeiro caso foi em novembro na China , e depois Aki no Brasil foi logo após ao carnaval , ou seja quantos que estavam infectado , e lá na Europa a pandemia já rolava solta , então muitos gringos estavam ali pulando cheio de corona pra passar o Brasil inteiro !!""";;
"378,@g1,""@g1 É tudo mentira, pessoas estão morrendo de outras doenças e eles estão obrigando os familiares a aceitar que foi de coronavírus se não aceitarem eles não liberam o corpo para ser enterrado.""";;
"511,@g1,""@g1 Parabéns @jairbolsonaro , teu jeito de combater o corona está dando certo. É óbvio que tu prefere ver gente morrendo ao montes do que largar seus inimigos fantasmas. Fica ai combatendo o """"COMUNISMO"""" enquanto o corona destrói o Brasil.""";;
"542,@g1,""@WillAgiov @g1 Não me refiro só a ataque cardíaco não, o povo não morre só disso não. São milhares de outras doenças. Esse corona não é isso tudo, eu e quase toda minha família pegamos e ngm andou nem perto de morrer, o máximo que deu foi uma dor de cabeça, e todo mundo aqui tá no grupo de risc""";;
545,@g1,@g1 oba leva corona pro espaço pra ele se mutar em matéria extraterrestre  e voltar ano que vem pra comer a gente de colherinha;;
"579,@g1,""@g1 COM O CORONAVÍRUS SOLTO, AS COISAS ESTÃO DIFÍCIL AQUI EM CASA O MEU SONHO É DAR UM FUTURO MELHOR PRA MINHA FAMÍLIA, TÓ COM ESSE CANAL PRA PODER REALIZAR ESSE MEU SONHO. PODE ME AJUDAR SE INSCREVENDO NO CANAL. AGRADEÇO ";;
"https://t.co/7kGLMgffzD""";;
618,@g1,@g1 Tem gente morrendo de outra doença e eles fala que é de corona eu não sei porque isto tá acontecendo mais tem alguma coisa errado aí­;;
620,@g1,@g1 Corona disseram que não tem remédio agora me fala como essas pessoas foram curados essa istoria tá muito mal contado;;
"641,@g1,""@g1 carioca sendo carioca! quale' a surpresa!";;
"nem por causa de bandido e bala perdido o pessoal fica em casa. quem dira por causa do corona...""";;
"642,@g1,""@g1 Nem deveriam gastar com estas notícias,tinha que ignorar,e as pessoas que vão ao encontro dele,sabem perfeitamente o que pode ocorrer,amanhã depois estarão tirando lugar numa UTI de quem mais precisa,não é só corona que existe no mundo,outras doenças tbem.""";;
"650,@g1,""@g1 Entrego em tuas mãos, corona!!""";;
"662,@g1,""@g1 ALGUÉM IMPREGNA O CORONA NESSE HOMEM, PELO AMOR DE DEUS""";;
664,@g1,@g1 Mais um gesto desse miserável de total descomprometimento no combate ao coronavírus e ah pandemia. Uma total falta de sensibilidade e solidariedade com ah familia dos milhões de mortos no pais.;;
665,@g1,@g1 Com certeza é outro coronavírus. Tem um específico que ataca animais;;
"683,@g1,""@g1 Bro, trabalhamos com nomes. Não façam que nem na época que uma idosa foi ultra xenofóbica com uma menina asiática no metrô por causa do corona e na hora de divulgar a foto, censuraram o rosto da idosa e exporam a imagem da vítima. Qual foi o nome do empresário?""";;
"695,@g1,""@jornalnacional @g1 Se retirar da pauta """"BOLSONARO e CORONAVÍRUS"""", acabou essa merda de Jornal. #GloboLixo #globosta #FechadoComBolsonaroAte2026 #FechadoComBolsonaro #STFVergonhaNacional""";;
698,@g1,@g1 Conta a lenda que o Deva Hannumah cuida da prosperidade financeira. Macacos na Índia o representa. Se esse Deva ficou irado e existir a trama desse Corona trará revolta contra governantes.;;
"702,@g1,""@idohferreira @g1 uma pandemia acontecer é eminente meu amigo... há milhões de vírus e bactérias que causam doenças desconhecidas, é só questão de tempo até uma dessas doenças se espalhar, como tá sendo o coronavírus agora";;
;;
"pega essa tua xenofobia e enfia no cu""";;
713,@g1,@elessandroevar1 @g1 Já estava muito doente bem antes do coronavírus !;;
"715,@g1,""@g1 coronavírus pode ser a arma mais poderosa do mundo. Se o vírus for lançado no ar e mais de 1 milhão de pessoas contaminadas já era. Mesmo com vacina, pq o vírus pode ser modifica para estranhamente letal em um curto tempo.""";;
720,@g1,@indigodrigo @g1 nossa mano imagina macaco também pode pegar corona e de repente tem uma epidemia de covid em macacoooooooooooooooooooooo;;
738,@g1,@g1 Planeta dos macacos! A prova de que o coronavírus deixa os macacos inteligentes e matam os humanos...;;
"740,@g1,""@g1 Agora 2020 tb vai meter um planeta dos macacos pra colocar uma cereja no bolo.";;
Enquanto ta todo mundo em casa os macacos vão assumir as bases militares.;;
"No final foram eles que criaram o corona pra dominar o mundo!""";;
