,usuario,texto;;;;;;;;
29,@JornalOGlobo,@JornalOGlobo O ˙nico que sair· vencedor È o coronavÌrus!;;;;;;;;
160,@JornalOGlobo,@JornalOGlobo Deve ser louca deixa o corona te pegar pr· ti ver como e a conversa t˙ est· velha tambÈm üò°üò°üò°üò° https://t.co/CwZWoLYLhD;;;;;;;;
"187,@JornalOGlobo,""@JornalOGlobo O coronavÌrus acabou, TDS podem voltar ao trabalho.aglomeraÁ„o t· liberada.""";;;;;;;;
188,@JornalOGlobo,@Winicin_retorno @JornalOGlobo Parece que o coronavÌrus acabou;;;;;;;;
"194,@JornalOGlobo,""@Monicad57126107 @JornalOGlobo Isso foi pros bancos, corona È gripesinha pro governo.""";;;;;;;;
"231,@JornalOGlobo,""@JornalOGlobo FaÁa seu trabalho corona, assim como na manifestaÁ„o dos gados""";;;;;;;;
263,@JornalOGlobo,@HienaMalhada @JornalOGlobo O coronavÌrus j· acabou ? https://t.co/RQUeIFie4r;;;;;;;;
264,@JornalOGlobo,@LuizFel65353708 @JornalOGlobo Quando ele foi eleito j· existia coronavÌrus ? Deixa de ser burro https://t.co/7msXlwuYFP;;;;;;;;
390,@JornalOGlobo,@JornalOGlobo … v·lido o protesto (n„o as depredaÁıes). Mas e o corona? J· acabou por l·?;;;;;;;;
"407,@JornalOGlobo,""@Sanrah_Sizzy @pedro_knz @JornalOGlobo Ele est·, certo querido, n„o È hora pra t· fazendo manifestaÁ„o com 2 milhıes de casos de corona nesse pa""";;;;;;;;
"453,@JornalOGlobo,""Removi o @jairbolsonaro e o  coronavÌrus, o @jornalnacional ficou assim...@realwbonner @GloboNews @JornalOGlobo @jornalhoje @JornalDaGlobo https://t.co/L21r0IIsIA""";;;;;;;;
"502,@JornalOGlobo,""@PretaEclara @eugeniosindico @JornalOGlobo Ser ouvido pacificamente, q È o jeito mais f·cil.";;;;;;;;
"Esses protestos j· mataram 2 pessoas, e se continuar, com o corona v„o matar dezenas, centenas e mais.""";;;;;;;;
538,@JornalOGlobo,@JornalOGlobo üòÇüòÇüòÇ Todo mundo em casa pegando Corona. Em N  York 85% dos cont·gios foram em pessoas isoladas.;;;;;;;;
567,@JornalOGlobo,@JornalOGlobo Cara de responsa... que bate de frente com dois vÌrus o corona e o genocida!;;;;;;;;
578,@JornalOGlobo,@JornalOGlobo Sa˙de muda a comunicaÁ„o e tenta ESCONDER dados negativos do novo coronavÌrus.;;;;;;;;
"600,@JornalOGlobo,""@tem_bolsonaro @JornalOGlobo Sim o coronavÌrus veio de Woehan, mas na idade mÈdia as doenÁas vinham dos brancos colonistas que em suas invasıes, contaminavam o povo. A raÁa √çndia por ex. era uma raÁa pura de doenÁas, os colonistas usufruiam das mulheres Ìndias, contaminando estas com  doenÁas venÈreas.""";;;;;;;;
612,@JornalOGlobo,@JornalOGlobo Na imagem qual È bolsominiom e acha q o corona È gripezinha e qual acredita na ciencia e por isso usa a mascara correramente? https://t.co/T0ptlfYDL9;;;;;;;;
"671,@JornalOGlobo,""@tiowill_ @JornalOGlobo Essa academia Smart Fit Bolzonarista est· nos enganando cobrando mensalidades e impedindo nosso direito de cancelamento de matrÌcula. Vamos no PROCON buscar nossos direitos contra o Ditador Nazista Facista  das Fake News, o dono da Smart Fit, Edgard Gomes Corona.""";;;;;;;;
"672,@JornalOGlobo,""@JornalOGlobo Essa academia Smart Fit Bolzonarista est· nos enganando cobrando mensalidades e impedindo nosso direito de cancelamento de matrÌcula. Vamos no PROCON buscar nossos direitos contra o Ditador Nazista Facista  das Fake News, o dono da Smart Fit, Edgard Gomes Corona.""";;;;;;;;
699,@JornalOGlobo,@JornalOGlobo Eu achava impossÌvel mas parece q Brasil passar· atÈ os EUA em mortos pelo corona;;;;;;;;
"708,@JornalOGlobo,""@JornalOGlobo EngraÁado teve manifestaÁıes em favor do presidente a palavra que mais via era aglomeraÁ„o e coronavÌrus por parte da mÌdia, no caso esse protesto n„o ouvi essas palavras se quer uma vez, parece atÈ q o corona n„o existe, nada contra a manifestaÁ„o porÈm oq È mais importante?""";;;;;;;;
"809,@JornalOGlobo,""@buscaioreino @RafaelLisc @JornalOGlobo Aquele que profetizou o coronavÌrus tem falado o que Deus quer desta geraÁ„o";"Arrependimento,arrependimento!!#FridayWordExpedition""";;;;;;;
811,@JornalOGlobo,@JornalOGlobo Fala assim pq n„o perdeu ninguem para o corona;;;;;;;;
"865,@JornalOGlobo,""@JornalOGlobo @LenioStreck """"Vamos vender 1 trilH¡o em estatais no 1∫ ano""""";" """"vamos zerar o dÈficit no 1∫ ano""""";" """"c/ 5 bilhıes a gente aniquila o corona""""";" """"economia pode crescer 2,5% apesar de crise do corona""""";" """"enviaremos a reforma tribut·ria em uma semana""""";" """"se eu fizer muita bobagem o dÛlar pode ir a 5"""".""";;;
869,@JornalOGlobo,@JornalOGlobo Quem n„o morrer de coronavÌrus vai morrer depois por causa da reforma trabalhista üò¢üò°ü§¨ https://t.co/PymEFsvB2F;;;;;;;;
"998,@JornalOGlobo,""@JornalOGlobo ME  QUE  SALA   DE   COMPUTER  NASSA   DA  PARA  GOZAR   SENHORES  MINHA DOACAO  BANCO  SANTNDER";;;;;;;;
"CONTA 0230         010142201   CONTA  CORRENTEY   DEPOSITO  SO  SE  ALMEJAREM   EU  TIRO   CORONA  VIRUZ""";;;;;;;;
"1012,@JornalOGlobo,""@JornalOGlobo Pqp quem acredita nessa """"estoria"""" de chip tem que se F* mesmo, pegar CORONAVIRUS e comer grama pela raiz.""";;;;;;;;
"1017,@JornalOGlobo,""@JornalOGlobo O Brasil È o paÌ≠s onde mais se morre por covid no mundo, em 24h, e, o presidente da republica, @JairBolsonaro t· preocupado com investigaÁ„o de fake news, com Edgard Corona, vÌrus da Havan etc... Usa a economia como desculpa.";;;;;;;;
"https://t.co/naDyq7CVyB""";;;;;;;;
1020,@JornalOGlobo,@JornalOGlobo Contanto que n„o seja de corona...;;;;;;;;
1077,@JornalOGlobo,@JornalOGlobo ESPEREMOS QUE NENHUMA CONTA BANCARIA POR AI ESTEJA COM CORONA SEN√O PARTE GRANDE DA GRANA PODE ACABAR LA;;;;;;;;
"1113,@JornalOGlobo,""@JornalOGlobo Corona, os vc? Onde est·s, oh, Corona?""";;;;;;;;
"1170,@JornalOGlobo,""@MeiliLuiz @ForaBol13969590 @JornalOGlobo Infelizmente a gente n„o pode fazer muito por causa do Coronavirus,pq se n„o tivesse o corona as coisas estariam bem mais feias para os bolsobostas""";;;;;;;;
1182,@JornalOGlobo,@JornalOGlobo Por acaso ' Corona ' È o seu sobrenome.;;;;;;;;
1183,@JornalOGlobo,@JornalOGlobo O CORONAVIRUS ja mandou vcs pra pqp?;;;;;;;;
1190,@JornalOGlobo,@JornalOGlobo O sobrenome do fdp fascista È CORONA.;;;;;;;;
