,usuario,texto;;;
"50,@RodrigoMaia,""@RodrigoMaia É muito fácil falar de saúde de um país de primeiro mundo. O Brasil é diferente é pode ser comparado. O congresso se julga como todo poderoso e se esquece do povo. O Coronavírus é culpado? é culpado são os dirigentes que nunca pensaram em dar ao ovo , uma saúde de qualidade.""";;;
"331,@RodrigoMaia,""@congemfoco @jairbolsonaro @RodrigoMaia Gostaria de saber, verdadeiramente, se existe uma estatística confiável, que trate do numero de vitimas da hidroziclororiquina no tratamento da malária  e do lúpus? Ou só há vitimas no tratamento do coronavírus?""";;;
"347,@RodrigoMaia,""@RodrigoMaia A lista verdadeira que mais causaram prejuízo na economia e na saúde desse país,congresso (maioria), governadores (maioria) prefeitos(boa parte) por último Coronavírus.""";;;
376,@RodrigoMaia,@RodrigoMaia é. Pense bem: o que derrubou a economia foi o golpe de 2016 e a polílica neoliberal equivocada que é deu certo em lugar ou tempo algum. O novo Coronavírus veio justificar a incompetência dos autores do golpe.;;;
"404,@RodrigoMaia,""@RodrigoMaia @joicehasselmann O virus é será problema se o Rodrigo Maia derrubar o presidente que é mais danoso para BRASIL que o corona. Porém o MAIA só fala entendimento... a conversa dele é com o Bolsonaro, o centrão e o DEM... esse frouxo que é a parte dele. Cadê a imprensa?""";;;
412,@RodrigoMaia,@OGloboPolitica @jairbolsonaro @RodrigoMaia Desorganiza e gera insegurança é a Globo lixo hipocresia Sr Rodrigo Maia liberar o Fundão eleitoral e Partidário para o combate ao Coronavírus está guardando para poder por no bolso hipócrita;;;
"464,@RodrigoMaia,""@RodrigoMaia Repito, isolamento é para derrubar a economia e matar mais pessoas, esse é o plano deles, é é conspiração, o números existem, gripe comum matou o mesmo tanto, mas as pessoas só morrem de coroná, quem liga pra que morre de fome? Acordem. é confiei na mídia nem em representante""";;;
"498,@RodrigoMaia,""@RodrigoMaia O senhor tem dinheiro pra se manter se for demitido??? EU é, e garanto que mais da metade dos brasileiros também é. Números equivocados desse """"corona fake"""" os números são dispostos de acordo com posição politica de cada estado?""";;;
"519,@RodrigoMaia,""@DOMINGOSBM @RodrigoMaia @onteiroNege kkk... nossa amigo, vc imita um Bolsominion com perfeição.";;;
;;;
Então vc é concorda? Acha que antes do corona a economia ia de vento em popa? ;;;
;;;
* É só falar, eu te ouço, é precisa dessa brabeza ;"-)""";;
"607,@RodrigoMaia,""@RodrigoMaia O vírus é... Países que levaram a sério estão em outro nível. Aqui, o que acaba com tudo é a polílica genocida atual, com a conivência e cumplicidade de vocês... Vai dar andamento no impeachment quando? ";;;
"é jogue a sua falta de atitude nas costas do Corona.""";;;
621,@RodrigoMaia,@cristinaarfrei1 @RodrigoMaia @Marcelo_Cicconi 30 mil mortes de corona. é sei aonde.  Viva NOSSO ministro militar.  Viva a cloroquina barata que salva vidas. Viva PR BOLSONARO.  Maia se for aprovar impitman .. aprova o seu parasita de Brasília;;;
"622,@RodrigoMaia,""@RodrigoMaia O impeachment de #ForaBolsonaro #ForaBolsonaroUrgente #ForaBolsonaroGenocida #ForaBolsonaroEseuBandodeCriminosos e sua corja toda tbém vai salvar...e muito mais rápido!!! Mas o corona ainda nao pegou nenhum parente próximo né... Com isso o povo vai pagando a conta, como sempre...""";;;
"627,@RodrigoMaia,""@HugoDinorah1 @RodrigoMaia E os outros 152,5 milhões de Brasileiros que engulam milicia, piadinhas, Centrão e Coronavírus?????";;;
;;;
#Somos70porcento ;;;
#ChegadeBolsonaro ;;;
#ChegadeMilicias;;;
#ChegadePiadas;;;
#ChegadeMamata;;;
"#ChegadePreconceito""";;;
634,@RodrigoMaia,@RodrigoMaia Seu lixo eu perdi meu emprego por conta desse corona faik moro de aluguel tenho fiha vc vai responder por toda essas merdas e acusações que vc contra o Brasil vamos derrubar toda essa patota vamos reciclar todos Deus irá cobrar de vc e dos demais lixos;;;
"638,@RodrigoMaia,""@RodrigoMaia O Brasil é o país onde mais se morre por covid no mundo, em 24h, e, o presidente da republica, @JairBolsonaro tá preocupado com investigação de fake news, com Edgard Corona, vírus da Havan etc... Usa a economia como desculpa.";;;
"https://t.co/naDyq7CVyB""";;;
648,@RodrigoMaia,@Biakicis @RodrigoMaia @Sen_Alessandro Por que o querido presidento da Câmara é escuta o povo?? Medinho do corona? Marca um dia para falar da sacada do ap.. ok;;;
