,usuario,texto;;
"78,@SF_Moro,""@NilmagnogmailC1 @RaiLira2 @claudiolucasrg @SF_Moro @partidonovo30 Devo lembrar que são falas, não são ações de governo. Exceto a cloroquina.";;
;;
"Medicação mais barata existente contra o corona.""";;
"99,@SF_Moro,""@santana_paulor @SF_Moro calma, o corona vai chegar em vc antes disso âœ” https://t.co/Jz6Y5RpJIy""";;
"223,@SF_Moro,""@SF_Moro Jamais SEREMOS POUCOs, afinal, #Somos57MILHOES ";;
"Se agasalhe, use máscara, lave as mãozinhas finas que tens, pois a única estação que está chegando é o inverno e o coronavírus adora, COACHING do STF.""";;
281,@SF_Moro,@SF_Moro @SOCIO_CORONA por favor uma carteirinha pra nosso nobre ex ministro;;
"302,@SF_Moro,""@SF_Moro Realmente subindob eu que nao acredido nesses dados divulgados, tudo vai na conta do corona""";;
"308,@SF_Moro,""@SF_Moro vai passear na rua com sua esposa  e não esqueça a máscara ,Cuidado com o Corona kkkk""";;
"312,@SF_Moro,""@elainejardin @PauloBr76542539 @SF_Moro todos nós, agora todo mundo é obrigado a usar máscara por causa do corona, não chora não.""";;
351,@SF_Moro,@naoestou_avenda @SF_Moro @joicehasselmann @alefrota77 E viva o corona! Qta cegueira e irresponsabilidade!;;
447,@SF_Moro,@joicehasselmann @jairbolsonaro @SF_Moro Alguém pode me explicar porque pessoas que estavam em quarentena antes da pandemia estão com corona??????????;;
"487,@SF_Moro,""@EdjaneJesus @leandroruschel @SF_Moro ambiente, aproveitando que a mídia só fala em morte e do coronavírus dar canetada sem o congresso. E o senhor Paulo Guedes destila sua arrogância e os livros de Harvard que leu, mesmo falando que a prostituição internacional no Brasil movimenta a economia. A pastora ri, todos!""";;
"637,@SF_Moro,""@Marcelo290504 @corona_vairuss @freud_nao @iveteguedes1 @xicograziano @jairbolsonaro @SF_Moro Realmente, sumiram. ğŸ¤·ğŸ»â€â™‚ï¸""";;
"658,@SF_Moro,""@Pedro99925649 @corona_vairuss @freud_nao @iveteguedes1 @xicograziano @jairbolsonaro @SF_Moro Eles nem sabe do q vc tá falando, se fazem de cegos e surdos, nesse momento.""";;
