,usuario,texto;;;;;;;;;;;;;;;;;;;;;;
17,@UOLNoticias,@Mmoreirabarreto @UOLNoticias Democracia e pedir AI - 5.. EXPOR MUITOS A CORONAVÕRUS e monta uma MILICIA armada na frente do STF??;;;;;;;;;;;;;;;;;;;;;;
75,@UOLNoticias,@UOLNoticias Vai Corona;;;;;;;;;;;;;;;;;;;;;;
90,@UOLNoticias,@UOLNoticias Poxa corona! CadÍ vocÍs nessas horas?üò°üò°;;;;;;;;;;;;;;;;;;;;;;
197,@UOLNoticias,@UOLNoticias E a aglomeraÁ„o do Corona ??;;;;;;;;;;;;;;;;;;;;;;
"222,@UOLNoticias,""@UOLNoticias Corona burro da porra, fica moscando nessas horas.""";;;;;;;;;;;;;;;;;;;;;;
"239,@UOLNoticias,""@UOLNoticias poxa corona, pq n mata esse verme? ü•∫ü•∫""";;;;;;;;;;;;;;;;;;;;;;
243,@UOLNoticias,@UOLNoticias For· corona.;;;;;;;;;;;;;;;;;;;;;;
"248,@UOLNoticias,""@UOLNoticias Pq dizer que esse ser fura o isolamento, ele nunca respeito!";;;;;;;;;;;;;;;;;;;;;;
"Esse destaque na manchete n„o faz mais sentido, e esse corona em, t·de brincadeira!""";;;;;;;;;;;;;;;;;;;;;;
255,@UOLNoticias,@MHildenice @RafaelLisc @UOLNoticias https://t.co/wvZNdWiMZO @DoloresElaine4 Aquele que profetizou o coronavÌrus tem falado o que Deus quer desta geraÁ„o!Somente o arrependimento pode livrar vocÍs!!#SundayBibleExpo;;;;;;;;;;;;;;;;;;;;;;
265,@UOLNoticias,@UOLNoticias Normal isso. As bombas foram sÛ para os anti-capit„o corona. T·claro de quem a PM da do lado.;;;;;;;;;;;;;;;;;;;;;;
268,@UOLNoticias,@UOLNoticias O que vai mudar? SÛ sei que esse bando aÌ≠ vai voltar pra casa com corona enfiado no cuuuuuu;;;;;;;;;;;;;;;;;;;;;;
"270,@UOLNoticias,""@UOLNoticias Vai Corona!!!";;;;;;;;;;;;;;;;;;;;;;
Fa· o que for preciso!!;;;;;;;;;;;;;;;;;;;;;;
"#FogonosFacistas""";;;;;;;;;;;;;;;;;;;;;;
"301,@UOLNoticias,""@UOLNoticias Tentem derrubar um presidente legÌtimo q vcs v„o ver q nenhum coronavÌrus segura o povo tentem kkkkkk..";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"https://t.co/6OUofKqhds""";;;;;;;;;;;;;;;;;;;;;;
"339,@UOLNoticias,""@UOLNoticias Gostaria de saber, verdadeiramente, se existe uma estatÌstica confi·vel, que trate do numero de vitimas da hidroziclororiquina no tratamento da mal·ia  e do l˙pus? Ou sÛ h·vitimas no tratamento do CORONAVÕRUS?""";;;;;;;;;;;;;;;;;;;;;;
388,@UOLNoticias,@UOLNoticias Deixa ele pro Corona...;;;;;;;;;;;;;;;;;;;;;;
420,@UOLNoticias,@PavlovskyD @Desobeynow @UOLNoticias O dolar ja tinha passado de 5 antes do corona. A gasolina tb. Ignorante È quem acha que esse incompetente È um bom presidente;;;;;;;;;;;;;;;;;;;;;;
"433,@UOLNoticias,""@SmokeM0nster @Desobeynow @UOLNoticias N„o sejamos ignorantes, o que levou o dÛlar a subir foi o coronavÌrus que atingiu todas as economias do mundo!!""";;;;;;;;;;;;;;;;;;;;;;
"459,@UOLNoticias,""@UOLNoticias Eu larguei m„o. Deixa morrer. Cuide dos seus, n„o saia de casa pq o corona vai rolar solto. ";;;;;;;;;;;;;;;;;;;;;;
"Nem morrendo vizinhos e amigos est·fazendo o pessoal ficar em casa. NinguÈm tem medo, ent„o deixa morrer.""";;;;;;;;;;;;;;;;;;;;;;
"472,@UOLNoticias,""@UOLNoticias Dessa porcentagem, devem fazer parte o vÈio da Havan, o corona dono da rede smartfit, o dono da Riachuelo, o dono da Polishop...""";;;;;;;;;;;;;;;;;;;;;;
"477,@UOLNoticias,""@UOLNoticias De um lado, tudo (economia, sa˙de, educaÁ„o, Corona, tudo)";;;;;;;;;;;;;;;;;;;;;;
