Source,Target,Type,Weight
0,352,Directed,1
1,353,Directed,1
2,354,Directed,1
3,355,Directed,1
4,356,Directed,1
5,357,Directed,1
6,358,Directed,1
6,359,Directed,1
6,360,Directed,1
6,361,Directed,1
6,358,Directed,1
6,362,Directed,1
6,363,Directed,1
6,364,Directed,1
6,365,Directed,1
6,366,Directed,1
6,367,Directed,1
7,368,Directed,1
8,369,Directed,1
9,370,Directed,1
10,371,Directed,1
10,372,Directed,1
11,373,Directed,1
12,374,Directed,1
13,375,Directed,1
14,376,Directed,1
15,377,Directed,1
16,378,Directed,1
15,379,Directed,1
17,380,Directed,1
18,381,Directed,1
19,382,Directed,1
20,383,Directed,1
21,384,Directed,1
21,385,Directed,1
21,384,Directed,1
22,386,Directed,1
22,387,Directed,1
23,388,Directed,1
24,389,Directed,1
24,390,Directed,1
25,391,Directed,1
26,392,Directed,1
27,393,Directed,1
28,394,Directed,1
27,393,Directed,1
20,383,Directed,1
29,395,Directed,1
30,396,Directed,1
31,397,Directed,1
32,398,Directed,1
33,399,Directed,1
33,400,Directed,1
34,401,Directed,1
34,402,Directed,1
35,403,Directed,1
36,383,Directed,1
37,404,Directed,1
38,405,Directed,1
39,397,Directed,1
40,406,Directed,1
41,407,Directed,1
4,403,Directed,1
42,408,Directed,1
43,409,Directed,1
11,410,Directed,1
11,411,Directed,1
44,412,Directed,1
44,413,Directed,1
27,414,Directed,1
27,415,Directed,1
45,416,Directed,1
46,402,Directed,1
47,417,Directed,1
48,418,Directed,1
48,419,Directed,1
49,420,Directed,1
50,421,Directed,1
11,422,Directed,1
11,423,Directed,1
11,424,Directed,1
51,425,Directed,1
52,426,Directed,1
53,427,Directed,1
54,392,Directed,1
55,428,Directed,1
51,425,Directed,1
56,429,Directed,1
57,430,Directed,1
58,431,Directed,1
29,432,Directed,1
29,432,Directed,1
38,385,Directed,1
59,433,Directed,1
60,434,Directed,1
60,435,Directed,1
60,436,Directed,1
60,435,Directed,1
61,437,Directed,1
62,438,Directed,1
63,439,Directed,1
63,440,Directed,1
64,441,Directed,1
65,442,Directed,1
66,443,Directed,1
66,402,Directed,1
67,444,Directed,1
68,445,Directed,1
68,446,Directed,1
66,447,Directed,1
66,448,Directed,1
66,449,Directed,1
66,450,Directed,1
69,451,Directed,1
70,452,Directed,1
70,453,Directed,1
71,454,Directed,1
72,455,Directed,1
73,456,Directed,1
73,457,Directed,1
74,458,Directed,1
75,459,Directed,1
76,460,Directed,1
77,461,Directed,1
72,462,Directed,1
72,463,Directed,1
72,464,Directed,1
72,465,Directed,1
78,466,Directed,1
79,467,Directed,1
80,397,Directed,1
80,468,Directed,1
81,469,Directed,1
82,470,Directed,1
83,471,Directed,1
84,472,Directed,1
84,473,Directed,1
85,474,Directed,1
86,475,Directed,1
87,476,Directed,1
87,477,Directed,1
88,402,Directed,1
88,478,Directed,1
88,479,Directed,1
89,480,Directed,1
89,481,Directed,1
36,383,Directed,1
54,392,Directed,1
66,482,Directed,1
90,483,Directed,1
91,484,Directed,1
92,485,Directed,1
92,486,Directed,1
92,487,Directed,1
93,488,Directed,1
93,489,Directed,1
94,490,Directed,1
49,491,Directed,1
95,492,Directed,1
96,493,Directed,1
