Source,Target,Type,Weight
0,25616,Directed,1
1,25617,Directed,1
2,25618,Directed,1
3,25619,Directed,1
4,25620,Directed,1
5,25621,Directed,1
6,25622,Directed,1
7,25623,Directed,1
8,25624,Directed,1
9,25625,Directed,1
10,25626,Directed,1
11,25627,Directed,1
12,25628,Directed,1
13,25629,Directed,1
14,25630,Directed,1
15,25631,Directed,1
16,25632,Directed,1
17,25633,Directed,1
18,25634,Directed,1
19,25635,Directed,1
20,25636,Directed,1
21,25637,Directed,1
22,25638,Directed,1
23,25639,Directed,1
24,25640,Directed,1
25,25641,Directed,1
26,25642,Directed,1
27,25643,Directed,1
28,25644,Directed,1
29,25645,Directed,1
30,25646,Directed,1
31,25647,Directed,1
32,25648,Directed,1
33,25649,Directed,1
34,25650,Directed,1
35,25651,Directed,1
36,25652,Directed,1
37,25653,Directed,1
38,25654,Directed,1
39,25655,Directed,1
40,25656,Directed,1
41,25657,Directed,1
42,25658,Directed,1
43,25659,Directed,1
44,25660,Directed,1
45,25661,Directed,1
46,25662,Directed,1
47,25663,Directed,1
48,25664,Directed,1
49,25665,Directed,1
50,25666,Directed,1
51,25667,Directed,1
52,25668,Directed,1
53,25669,Directed,1
54,25670,Directed,1
55,25671,Directed,1
56,25672,Directed,1
57,25673,Directed,1
58,25674,Directed,1
59,25675,Directed,1
60,25676,Directed,1
61,25677,Directed,1
62,25678,Directed,1
63,25679,Directed,1
64,25680,Directed,1
65,25681,Directed,1
66,25682,Directed,1
67,25683,Directed,1
68,25684,Directed,1
69,25685,Directed,1
70,25686,Directed,1
71,25687,Directed,1
72,25688,Directed,1
73,25689,Directed,1
74,25690,Directed,1
75,25691,Directed,1
76,25692,Directed,1
77,25693,Directed,1
78,25694,Directed,1
79,25695,Directed,1
80,25696,Directed,1
81,25697,Directed,1
82,25698,Directed,1
83,25699,Directed,1
84,25700,Directed,1
85,25701,Directed,1
86,25702,Directed,1
87,25703,Directed,1
88,25704,Directed,1
89,25705,Directed,1
90,25706,Directed,1
91,25707,Directed,1
92,25708,Directed,1
93,25709,Directed,1
94,25627,Directed,1
95,25710,Directed,1
96,25711,Directed,1
97,25712,Directed,1
98,25713,Directed,1
99,25714,Directed,1
100,25715,Directed,1
101,25716,Directed,1
102,25717,Directed,1
103,25718,Directed,1
104,25719,Directed,1
105,25720,Directed,1
106,25721,Directed,1
107,25722,Directed,1
108,25666,Directed,1
109,25723,Directed,1
22,25724,Directed,1
110,25725,Directed,1
111,25726,Directed,1
112,25727,Directed,1
113,25728,Directed,1
114,25729,Directed,1
115,25730,Directed,1
116,25731,Directed,1
117,25732,Directed,1
118,25733,Directed,1
119,25734,Directed,1
120,25735,Directed,1
121,25736,Directed,1
122,25737,Directed,1
123,25738,Directed,1
124,25739,Directed,1
125,25740,Directed,1
126,25741,Directed,1
127,25742,Directed,1
128,25743,Directed,1
129,25744,Directed,1
130,25745,Directed,1
131,25746,Directed,1
132,25747,Directed,1
133,25748,Directed,1
134,25749,Directed,1
135,25750,Directed,1
136,25751,Directed,1
137,25752,Directed,1
138,25622,Directed,1
139,25753,Directed,1
140,25754,Directed,1
123,25755,Directed,1
141,25756,Directed,1
142,25757,Directed,1
143,25758,Directed,1
144,25759,Directed,1
145,25760,Directed,1
146,25761,Directed,1
147,25762,Directed,1
148,25763,Directed,1
149,25764,Directed,1
150,25765,Directed,1
151,25766,Directed,1
152,25767,Directed,1
153,25768,Directed,1
154,25769,Directed,1
155,25770,Directed,1
156,25771,Directed,1
157,25772,Directed,1
158,25773,Directed,1
159,25649,Directed,1
160,25774,Directed,1
161,25775,Directed,1
162,25776,Directed,1
163,25777,Directed,1
164,25649,Directed,1
165,25778,Directed,1
166,25779,Directed,1
167,25780,Directed,1
168,25781,Directed,1
169,25782,Directed,1
170,25783,Directed,1
171,25784,Directed,1
172,25785,Directed,1
173,25786,Directed,1
174,25787,Directed,1
175,25788,Directed,1
176,25789,Directed,1
177,25790,Directed,1
178,25791,Directed,1
179,25792,Directed,1
180,25638,Directed,1
181,25793,Directed,1
182,25794,Directed,1
183,25795,Directed,1
184,25796,Directed,1
185,25797,Directed,1
186,25798,Directed,1
187,25799,Directed,1
188,25800,Directed,1
189,25801,Directed,1
190,25802,Directed,1
191,25803,Directed,1
192,25804,Directed,1
193,25805,Directed,1
194,25806,Directed,1
195,25807,Directed,1
196,25808,Directed,1
197,25809,Directed,1
198,25810,Directed,1
199,25811,Directed,1
200,25812,Directed,1
201,25813,Directed,1
202,25814,Directed,1
203,25815,Directed,1
204,25816,Directed,1
205,25817,Directed,1
206,25818,Directed,1
207,25819,Directed,1
208,25820,Directed,1
209,25821,Directed,1
210,25822,Directed,1
211,25823,Directed,1
212,25824,Directed,1
213,25825,Directed,1
214,25826,Directed,1
215,25827,Directed,1
216,25828,Directed,1
217,25829,Directed,1
218,25830,Directed,1
219,25831,Directed,1
220,25832,Directed,1
221,25833,Directed,1
222,25834,Directed,1
