PERFIS;wagsantisteban;danilogentili;Leah_Sandy;rafinhabastos;huckluciano;marcelotas;programapanico;rosana;kibeloco;melhoresfrases;;;;;;;;;;;;;
0;Cheguei da reuniãoo da escola, totalmente dedicada ão  H1N1. Passei em uns mercadinhos, comprei umas coisinhas, olhei o blog do @wagsantisteban;"Vazou a seguinte informação: ""40% das vítimas do H1N1 sãoo adultos com boa saúde"" 2 dias dps a venda d cigarros aumentou 75%";@Leah_Sandy Quanto a questãoo da gripe. Se vc for ve todos virus de gripe sãoo infleunza A, e H1N1 é pessimo pra quem ta lendo, ouvindo, etc;@rafinhabastos @DaniloGentili @finhasenator Entendem de medicina? é pior o vírus H1N1 ou o HIV???? =O;@veja @huckluciano @marcelotas Com os novos registros, o estado do paraná passa a ter 154 mortes pela doença H1N1.;@marcelotas Brasil recordista em mortes da H1N1 com 557 vitimas.Lembro do governo das mentiras dizer q nãoo teriamos problemas.Tb é marolinha;@programapanico avisa o carioca, que esse alcool já foi comprovado que nãoo funciona com relação ao virus h1n1.. ok ?;@rosana @fabiodanyllo SUPLICY deve dar CARTãoƒO VERMELHO para Luis Inacio... GOVERNO LADRãoƒO, MENTIROSO...Brasil 2 país c mortes pessoas c H1N1;@kibeloco vírus A H1N1;"""Influenza A(H1N1): a gripe que nãoo ousa dizer o nome."" Tutty Vasques | Por: @melhoresfrases";;;;;;;;;;;;;
1;RT @chicorei RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém usa camisinha!;@rafinhabastos @DaniloGentili @finhasenator Entendem de medicina? é pior o vírus H1N1 ou o HIV???? =O;@Leah_Sandy Se possivel dêem RT http://migre.me/45Hm Muito inportante p/ diferenciar gripe normal da H1N1;@rafinhabastos e a gente com medo da #H1N1? Perto disso a trupe da Xuxa é mixa! (try fast #2);@huckluciano Normal, Luciano ... Em tempos de H1N1 e H5N1 álcool gel virou artigo de primeira necessidade ... Os pequenos estãoo bem?;@veja @huckluciano @marcelotas Com os novos registros, o estado do paraná passa a ter 154 mortes pela doença H1N1.;@programapanico Ministériio da saúde adverte: beiijar na boca corre riisco de pegar griipe suão­ina (hÂ¹nÂ¹) faça sexo qeê é mas seguro!;@rosana Matéria de AGOSTO DE 2001 na Super Interessante. A VOLTA DO VãoRUS ASSASSINO. #gripesuína #H1N1 #gripeA #influenza (via @drika_rocha);@kibeloco Se possivel dêem RT http://migre.me/45Hm Muito inportante p/ diferenciar gripe normal da H1N1;@melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. E ASSINO SPEEDY;;;;;;;;;;;;;
2;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili O Tamiflú (remédio contra a Gripe H1N1) já nãoo se encontra mais nas farmácias, agora só nos resta o genérico ""Tamufú""";"@Leah_Sandy  ""A Gripe Suina"", também conhecida como ""Influenza A H1N1"", é uma doença respiratória q surgiu entre os porcos...";@rafinhabastos Power Rangers após uma crise H1N1......;@huckluciano ainda mais com esse nariz eh bom se prevenir da H1N1 !;"@marcelotas ""cretinismo parlamentar"". Será que essa doença é como o H1N1, se espalha no ar e veio parar no Brasil? E pior! - cont";@programapanico Emilio, tudo isso é medo da H1N1? Limpando as maos c alcool;@rosana Sandra Annenberg está mesmo com gripe suína ??  #H1N1 http://bit.ly/GXhaC;@kibeloco Depois do H1N1 mais um vírus contamina a vida dos porcos, Obina acaba de chegar ao parque antártica!!..uAHuah;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
3;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Gostaria de saber sua opniãoo sobre 2 coisas, mas jogo rapido. O que vc acha da Gripe H1N1 e da briquinha Globo x Record. ^_^;"@Leah_Sandy (...) Filas formam nos postos de saúde e hospitais por um simples resfriado, enquanto os que estãoo com ""H1N1"" ficam aguardando!!";@rafinhabastos MTO CUIDADO POVO COM RESTAURANTES..H1N1 TA SOLTA;@huckluciano kkkkkkk.....Muita calma nessa hora Luciano, ainda bem que aqui em Aracaju o H1N1 tá fraco.........;"@marcelotas ""Cédulas de dinheiro podem conter o vírus H1N1."" Será esse o motivo para tanta lavagem de dinheiro no país?";eitcha! gripe suína? I - N - F - L - U - E - N - Z - A H1N1 ? risos. todo mundo em pânico e de máscara agora.;@rosana  é porqe os virus mais mortais demoram mais para se espalhar e os virus menos letais como o H1N1 se propagam mais rápido;@kibeloco No caso do influenza A H1N1, se fosse erradicar o vetor, seria um genocidio.;RT: @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
4;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili foi confirmado o primeiro caso de Influenza A (H1N1) entre os  parlamentares... vai virar epidemia...;@Leah_Sandy a Influenza A ou H1N1 nãoo tem nada a ver com o porco, se falou tanto em gripe suína q tem gente achando q existe 3 tipos d gripe;Dúvidas sobre o vírus H1N1? Nãoo envie e-mails para contato@saude.gov.br (User unknown ### ENDERECO INEXISTENTE) Lindo hein! - @rafinhabastos;@huckluciano se alcool gel previne 95% contra a h1n1, se ingerirmos bebida alcoolica entãoo estamos salvos :D;@marcelotas esse vão­deo fala a influenza H1N1 e H5N1. Vc acha isso possão­vel? http://migre.me/59Jb; Este alcool em gel aão­ na mesa é prevenção da H1N1????BONITINHOS...politicamente corretos;[Faz sentido] RT @rosana: Prevenção p/ h1n1 é lavar bem as mãoos, ok? Entãoo o governo deveria reforçar a cota de sabãoo na cesta básica.Q tal?;"#H1N1: Muito bom! RT @kibeloco Efeito ""Gripe Suína"" (partes 1, 2 e 3): http://migre.me/PLI";RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína.;;;;;;;;;;;;;
5;RT: @chicorei: RT @wagsantisteban 4 mil  têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili é tãoo desprezão­vel que o virus H1N1 fica contaminado após contato com ele;@Leah_Sandy Pq é mais fácil de lembrar. Influenza A ou H1N1 é muito careta!;@rafinhabastos Gripe A, pra simplificar H1N1 e bem melhor q Suína, neh?!?!? rsrs;@huckluciano vc ão± acha um erro absurdo o Show Cça Esperança devido ao vírus H1N1 ?;UOL-Estado de SP distribui TAMIFLU contra gripe H1N1,porque senãoo TAMOFU! @pautalivre @danilogentili @marcelotas @comedias;botaram uma tal de clarice agora, pra dar as notícias do programapanico no twitter, que ta igualzinha o chima e a h1n1, só estrova!!!;Gripe H1N1 http://is.gd/1BEzA (via @rosana) TOMEM CUIDADO GALERA, O VãoRUS não é FRACO não! =(;@kibeloco Marão­lia Gabriela depois da gripe suína????;@melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
6;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;UOL-Estado de SP distribui TAMIFLU contra gripe H1N1,porque senãoo TAMOFU! @pautalivre @danilogentili @marcelotas @comedias;@Leah_Sandy O MS diz que a mortalidade da ;@rafinhabastos caraca! se eu conseguir pegar a gripe suina vou poder ficar 15 dias em casa... vou tomar mais guarana dolly!!;@huckluciano Minha irma  morreu depois de uma forte gripe, há 15 dias,mas os medicos insistem em dizer que nao era h1n1..será??;@marcelotas TAAAAAAAAAS... http://bit.ly/SSmg9 TOP FIVE aqui da Rede Minas.. INVASOR DIZENDO QUE ET TEM CURA PARA H1N1;@programapanico saiu uma previsãoo na rádio piãoo da Curitiba que é para morrer no mínimo 3 mil pessoas da gripe A (H1N1);@rosana este é o perfil oficial do Ministério da Saúde p informar e tirar dúvidas sobre o h1n1. Agradecemos se você puder RT as informções.;@kibeloco parece mais com o Robert Plant depois da gripe suína!;"Mora na ZL? RT @melhoresfrases ""Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína"".";;;;;;;;;;;;;
7;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili é tãoo desprezão­vel que...nem o virus H1N1 lhe pega.;@Leah_Sandy Cabei de descobrir que meu namorado tem doado processamento do computador dele pra ajudar na busca por uma vacina da h1n1!!!;@rafinhabastos voltaram as aulas por causa da gripe suína. entãoo os porcos vãoo pro chiqueiro mais cedo;@huckluciano Concordo Lu.. nãoo tomaram providências, deixaram embarcar.. mas os pais também heim... deixar ela ir ao USA nesta época de H1N1;@marcelotas TAAAAAAAAAS... http://bit.ly/SSmg9  TOP FIVE aqui da Rede Minas.. Invasor dizendo que ET é cura para H1N1;@programapanico :Ele morreu de influenza A H1N1...(Gripe suina);@rosana até o momento foram confirmados 101 casos de h1n1 no RS. A maior parte já recebeu alta ou está em processo de recuperação;@kibeloco E pela gripe suína.;Eu torço pra Lusa RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína.;;;;;;;;;;;;;
8;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Fui a um aniversário ontem, a aniversariante estava com sitomas de H1N1, ficamos la horas, ela nãoo conseguia apagar as velas.;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha [Verdade];Eu q inventei essa, prima'ta louca :) RT @rmshady: O @rafinhabastos é tãoo ignorante que nãoo sabe diferenciar gripe suína de porco com gripe.;@marcelotas @lorraynaamaral @huckluciano gripe suína, gripe A, h1n1, nova gripe essa coisa muda tanto de nome que mais parece o Puffy Daddy!;@marcelotas TAAAAAAAAAS... http://bit.ly/SSmg9;@programapanico H1N1  Ahahahaha;@rosana o ministro Temporãoo apresentou o novo protocolo para efrentarmos o H1N1 ão s 16:30 desta tarde. sobre a situação no RS;@bgagliasso @kibeloco @TheoBecker8 Ouça Pandemia o Hit da Gripe Suina: http://bit.ly/95yNi;RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo T./FSP;;;;;;;;;;;;;
9;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! Â¬Â¬;@DaniloGentili descobre se a H1N1 é uma gripe transgênica, pls?;@Leah_Sandy :)))) é mesmo! acho que é o futebol e a gripe suína.;@nellsmoraes O @rafinhabastos é tãoo ignorante que nãoo sabe diferenciar gripe suína de porco com gripe.;"@huckluciano Nãoo é gripe Suína, é Gripe A (H1N1). Â¬Â¬""";@marcelotas @lorraynaamaral @huckluciano gripe suína, gripe A, h1n1, nova gripe essa coisa muda tanto de nome que mais parece o Puffy Daddy!;@programapanico Bola....é sair da radio e ir direto pra um centro de imunização.. o H1N1 tá em festa ai no estudio....hahaha...abr.;@rosana Eu acredito no que ouço de especialistas.Médicos dizem que a gripe h1n1 é tãoo fatal quanto a gripe normal.Cuidado sempre no inverno.;@kibeloco O HIT DA GRIPE SUINA - PANDEMIA DA BANDA OS TORTO: http://bit.ly/95yNi;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
